"name_setting";"value_setting"
"Hutang Dagang Trading";18
"Potongan Pembelian Trading";40
"PPN Masukan Trading";6
"Uang Muka Pembelian Trading";5
"Piutang Dagang Trading";4
"Potongan Penjualan Trading";34
"PPN Keluaran Trading";20
"Uang Muka Penjualan Trading";21
"HPP Trading";38
"Persediaan Trading";3
"Hutang Dagang Retail";61
"Potongan Pembelian Retail";43
"PPN Masukan Retail";59
"Uang Muka Pembelian Retail";58
"Piutang Dagang Retail";57
"Potongan Penjualan Retail";34
"PPN Keluaran Retail";60
"Uang Muka Penjualan Retail";62
"HPP Retail";39
"Persediaan Retail";56
